Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Katalon certificate,Firefox 118.0,,,2023-10-09 09:50:22,2023-10-09 09:51:33,"1m - 10,894s",PASSED
,,,,,,,
Test Cases/Test cases for getting katalon degree/test case 1,Firefox 118.0,,,2023-10-09 09:50:23,2023-10-09 09:50:37,"14,625s",PASSED
"openBrowser("""")",Firefox 118.0,,,2023-10-09 09:50:23,2023-10-09 09:50:27,"4,146s",PASSED
"navigateToUrl(""https://cms.demo.katalon.com/"")",Firefox 118.0,,,2023-10-09 09:50:27,2023-10-09 09:50:30,"2,713s",PASSED
"click(findTestObject(""Object Repository/Page_Katalon Shop  Katalon Ecommerce/a_My account""))",Firefox 118.0,,,2023-10-09 09:50:30,2023-10-09 09:50:31,"1,377s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_My account  Katalon Shop/h2_Recent Posts""), 0)",Firefox 118.0,,,2023-10-09 09:50:31,2023-10-09 09:50:32,"0,399s",PASSED
"click(findTestObject(""Object Repository/Page_My account  Katalon Shop/button_Log in""))",Firefox 118.0,,,2023-10-09 09:50:32,2023-10-09 09:50:33,"1,200s",PASSED
"click(findTestObject(""Object Repository/Page_My account  Katalon Shop/a_Sample Page""))",Firefox 118.0,,,2023-10-09 09:50:33,2023-10-09 09:50:34,"1,244s",PASSED
"rightClick(findTestObject(""Object Repository/Page_Sample Page  Katalon Shop/a_Checkout""))",Firefox 118.0,,,2023-10-09 09:50:34,2023-10-09 09:50:35,"0,597s",PASSED
"click(findTestObject(""Object Repository/Page_Sample Page  Katalon Shop/blockquote_Hi there Im a bike messenger by _996985""))",Firefox 118.0,,,2023-10-09 09:50:35,2023-10-09 09:50:35,"0,644s",PASSED
"rightClick(findTestObject(""Object Repository/Page_Sample Page  Katalon Shop/p_Hi there Im a bike messenger by day, aspi_ed905b""))",Firefox 118.0,,,2023-10-09 09:50:35,2023-10-09 09:50:36,"0,424s",PASSED
"click(findTestObject(""Object Repository/Page_Sample Page  Katalon Shop/p_This is an example page. Its different fr_b854e3""))",Firefox 118.0,,,2023-10-09 09:50:36,2023-10-09 09:50:36,"0,518s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Sample Page  Katalon Shop/h1_Sample Page""), ""Sample Page"")",Firefox 118.0,,,2023-10-09 09:50:36,2023-10-09 09:50:36,"0,298s",PASSED
closeBrowser(),Firefox 118.0,,,2023-10-09 09:50:36,2023-10-09 09:50:37,"0,847s",PASSED
,,,,,,,
Test Cases/Test cases for getting katalon degree/Test case 2,Firefox 118.0,,,2023-10-09 09:50:37,2023-10-09 09:50:51,"13,747s",PASSED
"openBrowser("""")",Firefox 118.0,,,2023-10-09 09:50:37,2023-10-09 09:50:41,"3,202s",PASSED
"navigateToUrl(""https://cms.demo.katalon.com/"")",Firefox 118.0,,,2023-10-09 09:50:41,2023-10-09 09:50:43,"2,679s",PASSED
"click(findTestObject(""Object Repository/Page_Katalon Shop  Katalon Ecommerce/a_My account""))",Firefox 118.0,,,2023-10-09 09:50:43,2023-10-09 09:50:45,"1,694s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_My account  Katalon Shop/h2_Recent Posts""), 0)",Firefox 118.0,,,2023-10-09 09:50:45,2023-10-09 09:50:45,"0,289s",PASSED
"click(findTestObject(""Object Repository/Page_My account  Katalon Shop/button_Log in""))",Firefox 118.0,,,2023-10-09 09:50:45,2023-10-09 09:50:46,"1,102s",PASSED
"click(findTestObject(""Object Repository/Page_My account  Katalon Shop/a_Sample Page""))",Firefox 118.0,,,2023-10-09 09:50:46,2023-10-09 09:50:48,"1,376s",PASSED
"rightClick(findTestObject(""Object Repository/Page_Sample Page  Katalon Shop/a_Checkout""))",Firefox 118.0,,,2023-10-09 09:50:48,2023-10-09 09:50:48,"0,610s",PASSED
"click(findTestObject(""Object Repository/Page_Sample Page  Katalon Shop/blockquote_Hi there Im a bike messenger by _996985""))",Firefox 118.0,,,2023-10-09 09:50:48,2023-10-09 09:50:49,"0,629s",PASSED
"rightClick(findTestObject(""Object Repository/Page_Sample Page  Katalon Shop/p_Hi there Im a bike messenger by day, aspi_ed905b""))",Firefox 118.0,,,2023-10-09 09:50:49,2023-10-09 09:50:49,"0,424s",PASSED
"click(findTestObject(""Object Repository/Page_Sample Page  Katalon Shop/p_This is an example page. Its different fr_b854e3""))",Firefox 118.0,,,2023-10-09 09:50:49,2023-10-09 09:50:50,"0,517s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Sample Page  Katalon Shop/h1_Sample Page""), ""Sample Page"")",Firefox 118.0,,,2023-10-09 09:50:50,2023-10-09 09:50:50,"0,283s",PASSED
closeBrowser(),Firefox 118.0,,,2023-10-09 09:50:50,2023-10-09 09:50:51,"0,848s",PASSED
,,,,,,,
Test Cases/Test cases for getting katalon degree/test case 3,Firefox 118.0,,,2023-10-09 09:50:51,2023-10-09 09:51:06,"15,286s",PASSED
"openBrowser("""")",Firefox 118.0,,,2023-10-09 09:50:51,2023-10-09 09:50:54,"2,951s",PASSED
"navigateToUrl(""https://cms.demo.katalon.com/"")",Firefox 118.0,,,2023-10-09 09:50:54,2023-10-09 09:50:59,"4,487s",PASSED
"click(findTestObject(""Object Repository/Page_Katalon Shop  Katalon Ecommerce/a_My account""))",Firefox 118.0,,,2023-10-09 09:50:59,2023-10-09 09:51:00,"1,562s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_My account  Katalon Shop/h2_Recent Posts""), 0)",Firefox 118.0,,,2023-10-09 09:51:00,2023-10-09 09:51:01,"0,522s",PASSED
"click(findTestObject(""Object Repository/Page_My account  Katalon Shop/button_Log in""))",Firefox 118.0,,,2023-10-09 09:51:01,2023-10-09 09:51:02,"1,021s",PASSED
"click(findTestObject(""Object Repository/Page_My account  Katalon Shop/a_Sample Page""))",Firefox 118.0,,,2023-10-09 09:51:02,2023-10-09 09:51:03,"1,271s",PASSED
"rightClick(findTestObject(""Object Repository/Page_Sample Page  Katalon Shop/a_Checkout""))",Firefox 118.0,,,2023-10-09 09:51:03,2023-10-09 09:51:04,"0,691s",PASSED
"click(findTestObject(""Object Repository/Page_Sample Page  Katalon Shop/blockquote_Hi there Im a bike messenger by _996985""))",Firefox 118.0,,,2023-10-09 09:51:04,2023-10-09 09:51:04,"0,629s",PASSED
"rightClick(findTestObject(""Object Repository/Page_Sample Page  Katalon Shop/p_Hi there Im a bike messenger by day, aspi_ed905b""))",Firefox 118.0,,,2023-10-09 09:51:04,2023-10-09 09:51:05,"0,424s",PASSED
"click(findTestObject(""Object Repository/Page_Sample Page  Katalon Shop/p_This is an example page. Its different fr_b854e3""))",Firefox 118.0,,,2023-10-09 09:51:05,2023-10-09 09:51:05,"0,534s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Sample Page  Katalon Shop/h1_Sample Page""), ""Sample Page"")",Firefox 118.0,,,2023-10-09 09:51:05,2023-10-09 09:51:06,"0,282s",PASSED
closeBrowser(),Firefox 118.0,,,2023-10-09 09:51:06,2023-10-09 09:51:06,"0,801s",PASSED
,,,,,,,
Test Cases/Test cases for getting katalon degree/test case 4,Firefox 118.0,,,2023-10-09 09:51:06,2023-10-09 09:51:19,"13,068s",PASSED
"openBrowser("""")",Firefox 118.0,,,2023-10-09 09:51:06,2023-10-09 09:51:09,"2,966s",PASSED
"navigateToUrl(""https://cms.demo.katalon.com/"")",Firefox 118.0,,,2023-10-09 09:51:09,2023-10-09 09:51:12,"2,732s",PASSED
"click(findTestObject(""Object Repository/Page_Katalon Shop  Katalon Ecommerce/a_My account""))",Firefox 118.0,,,2023-10-09 09:51:12,2023-10-09 09:51:13,"1,310s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_My account  Katalon Shop/h2_Recent Posts""), 0)",Firefox 118.0,,,2023-10-09 09:51:13,2023-10-09 09:51:14,"0,392s",PASSED
"click(findTestObject(""Object Repository/Page_My account  Katalon Shop/button_Log in""))",Firefox 118.0,,,2023-10-09 09:51:14,2023-10-09 09:51:15,"0,997s",PASSED
"click(findTestObject(""Object Repository/Page_My account  Katalon Shop/a_Sample Page""))",Firefox 118.0,,,2023-10-09 09:51:15,2023-10-09 09:51:16,"1,216s",PASSED
"rightClick(findTestObject(""Object Repository/Page_Sample Page  Katalon Shop/a_Checkout""))",Firefox 118.0,,,2023-10-09 09:51:16,2023-10-09 09:51:17,"0,691s",PASSED
"click(findTestObject(""Object Repository/Page_Sample Page  Katalon Shop/blockquote_Hi there Im a bike messenger by _996985""))",Firefox 118.0,,,2023-10-09 09:51:17,2023-10-09 09:51:17,"0,629s",PASSED
"rightClick(findTestObject(""Object Repository/Page_Sample Page  Katalon Shop/p_Hi there Im a bike messenger by day, aspi_ed905b""))",Firefox 118.0,,,2023-10-09 09:51:17,2023-10-09 09:51:18,"0,424s",PASSED
"click(findTestObject(""Object Repository/Page_Sample Page  Katalon Shop/p_This is an example page. Its different fr_b854e3""))",Firefox 118.0,,,2023-10-09 09:51:18,2023-10-09 09:51:18,"0,518s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Sample Page  Katalon Shop/h1_Sample Page""), ""Sample Page"")",Firefox 118.0,,,2023-10-09 09:51:18,2023-10-09 09:51:19,"0,282s",PASSED
closeBrowser(),Firefox 118.0,,,2023-10-09 09:51:19,2023-10-09 09:51:19,"0,848s",PASSED
,,,,,,,
Test Cases/Test cases for getting katalon degree/test case 5,Firefox 118.0,,,2023-10-09 09:51:19,2023-10-09 09:51:33,"13,965s",PASSED
"openBrowser("""")",Firefox 118.0,,,2023-10-09 09:51:19,2023-10-09 09:51:23,"3,095s",PASSED
