Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Katalon certificate,Firefox 118.0,,,2023-10-09 10:53:03,2023-10-09 10:54:36,"1m - 32,631s",PASSED
,,,,,,,
Test Cases/Test cases for getting katalon degree/test case 1,Firefox 118.0,,,2023-10-09 10:53:04,2023-10-09 10:53:19,"15,246s",PASSED
"openBrowser("""")",Firefox 118.0,,,2023-10-09 10:53:04,2023-10-09 10:53:08,"4,618s",PASSED
"navigateToUrl(""https://cms.demo.katalon.com/"")",Firefox 118.0,,,2023-10-09 10:53:08,2023-10-09 10:53:11,"2,764s",PASSED
"click(findTestObject(""Object Repository/Page_Katalon Shop  Katalon Ecommerce/a_My account""))",Firefox 118.0,,,2023-10-09 10:53:11,2023-10-09 10:53:13,"1,480s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_My account  Katalon Shop/h2_Recent Posts""), 0)",Firefox 118.0,,,2023-10-09 10:53:13,2023-10-09 10:53:13,"0,399s",PASSED
"click(findTestObject(""Object Repository/Page_My account  Katalon Shop/button_Log in""))",Firefox 118.0,,,2023-10-09 10:53:13,2023-10-09 10:53:14,"1,061s",PASSED
"click(findTestObject(""Object Repository/Page_My account  Katalon Shop/a_Sample Page""))",Firefox 118.0,,,2023-10-09 10:53:14,2023-10-09 10:53:15,"1,263s",PASSED
"rightClick(findTestObject(""Object Repository/Page_Sample Page  Katalon Shop/a_Checkout""))",Firefox 118.0,,,2023-10-09 10:53:15,2023-10-09 10:53:16,"0,678s",PASSED
"click(findTestObject(""Object Repository/Page_Sample Page  Katalon Shop/blockquote_Hi there Im a bike messenger by _996985""))",Firefox 118.0,,,2023-10-09 10:53:16,2023-10-09 10:53:17,"0,631s",PASSED
"rightClick(findTestObject(""Object Repository/Page_Sample Page  Katalon Shop/p_Hi there Im a bike messenger by day, aspi_ed905b""))",Firefox 118.0,,,2023-10-09 10:53:17,2023-10-09 10:53:17,"0,414s",PASSED
"click(findTestObject(""Object Repository/Page_Sample Page  Katalon Shop/p_This is an example page. Its different fr_b854e3""))",Firefox 118.0,,,2023-10-09 10:53:17,2023-10-09 10:53:18,"0,503s",PASSED
