Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Katalon certificate,Firefox 118.0,,,2023-10-09 09:45:41,2023-10-09 09:46:49,"1m - 8,174s",PASSED
,,,,,,,
Test Cases/Test cases for getting katalon degree/test case 1,Firefox 118.0,,,2023-10-09 09:45:41,2023-10-09 09:45:56,"14,294s",PASSED
"openBrowser("""")",Firefox 118.0,,,2023-10-09 09:45:41,2023-10-09 09:45:45,"3,818s",PASSED
"navigateToUrl(""https://cms.demo.katalon.com/"")",Firefox 118.0,,,2023-10-09 09:45:45,2023-10-09 09:45:48,"2,613s",PASSED
"click(findTestObject(""Object Repository/Page_Katalon Shop  Katalon Ecommerce/a_My account""))",Firefox 118.0,,,2023-10-09 09:45:48,2023-10-09 09:45:49,"1,483s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_My account  Katalon Shop/h2_Recent Posts""), 0)",Firefox 118.0,,,2023-10-09 09:45:49,2023-10-09 09:45:50,"0,520s",PASSED
"click(findTestObject(""Object Repository/Page_My account  Katalon Shop/button_Log in""))",Firefox 118.0,,,2023-10-09 09:45:50,2023-10-09 09:45:51,"1,095s",PASSED
"click(findTestObject(""Object Repository/Page_My account  Katalon Shop/a_Sample Page""))",Firefox 118.0,,,2023-10-09 09:45:51,2023-10-09 09:45:52,"1,354s",PASSED
"rightClick(findTestObject(""Object Repository/Page_Sample Page  Katalon Shop/a_Checkout""))",Firefox 118.0,,,2023-10-09 09:45:52,2023-10-09 09:45:53,"0,578s",PASSED
"click(findTestObject(""Object Repository/Page_Sample Page  Katalon Shop/blockquote_Hi there Im a bike messenger by _996985""))",Firefox 118.0,,,2023-10-09 09:45:53,2023-10-09 09:45:53,"0,616s",PASSED
"rightClick(findTestObject(""Object Repository/Page_Sample Page  Katalon Shop/p_Hi there Im a bike messenger by day, aspi_ed905b""))",Firefox 118.0,,,2023-10-09 09:45:53,2023-10-09 09:45:54,"0,416s",PASSED
"click(findTestObject(""Object Repository/Page_Sample Page  Katalon Shop/p_This is an example page. Its different fr_b854e3""))",Firefox 118.0,,,2023-10-09 09:45:54,2023-10-09 09:45:54,"0,511s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Sample Page  Katalon Shop/h1_Sample Page""), ""Sample Page"")",Firefox 118.0,,,2023-10-09 09:45:54,2023-10-09 09:45:55,"0,304s",PASSED
closeBrowser(),Firefox 118.0,,,2023-10-09 09:45:55,2023-10-09 09:45:56,"0,843s",PASSED
,,,,,,,
Test Cases/Test cases for getting katalon degree/Test case 2,Firefox 118.0,,,2023-10-09 09:45:56,2023-10-09 09:46:09,"13,265s",PASSED
"openBrowser("""")",Firefox 118.0,,,2023-10-09 09:45:56,2023-10-09 09:45:59,"2,948s",PASSED
"navigateToUrl(""https://cms.demo.katalon.com/"")",Firefox 118.0,,,2023-10-09 09:45:59,2023-10-09 09:46:01,"2,544s",PASSED
"click(findTestObject(""Object Repository/Page_Katalon Shop  Katalon Ecommerce/a_My account""))",Firefox 118.0,,,2023-10-09 09:46:01,2023-10-09 09:46:03,"1,424s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_My account  Katalon Shop/h2_Recent Posts""), 0)",Firefox 118.0,,,2023-10-09 09:46:03,2023-10-09 09:46:03,"0,519s",PASSED
"click(findTestObject(""Object Repository/Page_My account  Katalon Shop/button_Log in""))",Firefox 118.0,,,2023-10-09 09:46:03,2023-10-09 09:46:04,"1,091s",PASSED
"click(findTestObject(""Object Repository/Page_My account  Katalon Shop/a_Sample Page""))",Firefox 118.0,,,2023-10-09 09:46:04,2023-10-09 09:46:05,"1,251s",PASSED
"rightClick(findTestObject(""Object Repository/Page_Sample Page  Katalon Shop/a_Checkout""))",Firefox 118.0,,,2023-10-09 09:46:05,2023-10-09 09:46:06,"0,685s",PASSED
"click(findTestObject(""Object Repository/Page_Sample Page  Katalon Shop/blockquote_Hi there Im a bike messenger by _996985""))",Firefox 118.0,,,2023-10-09 09:46:06,2023-10-09 09:46:07,"0,602s",PASSED
"rightClick(findTestObject(""Object Repository/Page_Sample Page  Katalon Shop/p_Hi there Im a bike messenger by day, aspi_ed905b""))",Firefox 118.0,,,2023-10-09 09:46:07,2023-10-09 09:46:07,"0,415s",PASSED
"click(findTestObject(""Object Repository/Page_Sample Page  Katalon Shop/p_This is an example page. Its different fr_b854e3""))",Firefox 118.0,,,2023-10-09 09:46:07,2023-10-09 09:46:08,"0,509s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Sample Page  Katalon Shop/h1_Sample Page""), ""Sample Page"")",Firefox 118.0,,,2023-10-09 09:46:08,2023-10-09 09:46:08,"0,303s",PASSED
closeBrowser(),Firefox 118.0,,,2023-10-09 09:46:08,2023-10-09 09:46:09,"0,890s",PASSED
,,,,,,,
Test Cases/Test cases for getting katalon degree/test case 3,Firefox 118.0,,,2023-10-09 09:46:09,2023-10-09 09:46:22,"13,215s",PASSED
"openBrowser("""")",Firefox 118.0,,,2023-10-09 09:46:09,2023-10-09 09:46:12,"2,958s",PASSED
"navigateToUrl(""https://cms.demo.katalon.com/"")",Firefox 118.0,,,2023-10-09 09:46:12,2023-10-09 09:46:14,"2,540s",PASSED
"click(findTestObject(""Object Repository/Page_Katalon Shop  Katalon Ecommerce/a_My account""))",Firefox 118.0,,,2023-10-09 09:46:14,2023-10-09 09:46:16,"1,408s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_My account  Katalon Shop/h2_Recent Posts""), 0)",Firefox 118.0,,,2023-10-09 09:46:16,2023-10-09 09:46:16,"0,491s",PASSED
"click(findTestObject(""Object Repository/Page_My account  Katalon Shop/button_Log in""))",Firefox 118.0,,,2023-10-09 09:46:16,2023-10-09 09:46:17,"1,094s",PASSED
"click(findTestObject(""Object Repository/Page_My account  Katalon Shop/a_Sample Page""))",Firefox 118.0,,,2023-10-09 09:46:17,2023-10-09 09:46:19,"1,217s",PASSED
"rightClick(findTestObject(""Object Repository/Page_Sample Page  Katalon Shop/a_Checkout""))",Firefox 118.0,,,2023-10-09 09:46:19,2023-10-09 09:46:19,"0,681s",PASSED
"click(findTestObject(""Object Repository/Page_Sample Page  Katalon Shop/blockquote_Hi there Im a bike messenger by _996985""))",Firefox 118.0,,,2023-10-09 09:46:19,2023-10-09 09:46:20,"0,622s",PASSED
"rightClick(findTestObject(""Object Repository/Page_Sample Page  Katalon Shop/p_Hi there Im a bike messenger by day, aspi_ed905b""))",Firefox 118.0,,,2023-10-09 09:46:20,2023-10-09 09:46:20,"0,411s",PASSED
"click(findTestObject(""Object Repository/Page_Sample Page  Katalon Shop/p_This is an example page. Its different fr_b854e3""))",Firefox 118.0,,,2023-10-09 09:46:20,2023-10-09 09:46:21,"0,495s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Sample Page  Katalon Shop/h1_Sample Page""), ""Sample Page"")",Firefox 118.0,,,2023-10-09 09:46:21,2023-10-09 09:46:21,"0,318s",PASSED
closeBrowser(),Firefox 118.0,,,2023-10-09 09:46:21,2023-10-09 09:46:22,"0,902s",PASSED
,,,,,,,
Test Cases/Test cases for getting katalon degree/test case 4,Firefox 118.0,,,2023-10-09 09:46:22,2023-10-09 09:46:36,"13,927s",PASSED
"openBrowser("""")",Firefox 118.0,,,2023-10-09 09:46:22,2023-10-09 09:46:25,"2,897s",PASSED
"navigateToUrl(""https://cms.demo.katalon.com/"")",Firefox 118.0,,,2023-10-09 09:46:25,2023-10-09 09:46:27,"2,449s",PASSED
"click(findTestObject(""Object Repository/Page_Katalon Shop  Katalon Ecommerce/a_My account""))",Firefox 118.0,,,2023-10-09 09:46:27,2023-10-09 09:46:29,"1,406s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_My account  Katalon Shop/h2_Recent Posts""), 0)",Firefox 118.0,,,2023-10-09 09:46:29,2023-10-09 09:46:29,"0,389s",PASSED
"click(findTestObject(""Object Repository/Page_My account  Katalon Shop/button_Log in""))",Firefox 118.0,,,2023-10-09 09:46:29,2023-10-09 09:46:31,"1,913s",PASSED
"click(findTestObject(""Object Repository/Page_My account  Katalon Shop/a_Sample Page""))",Firefox 118.0,,,2023-10-09 09:46:31,2023-10-09 09:46:33,"1,455s",PASSED
"rightClick(findTestObject(""Object Repository/Page_Sample Page  Katalon Shop/a_Checkout""))",Firefox 118.0,,,2023-10-09 09:46:33,2023-10-09 09:46:33,"0,668s",PASSED
"click(findTestObject(""Object Repository/Page_Sample Page  Katalon Shop/blockquote_Hi there Im a bike messenger by _996985""))",Firefox 118.0,,,2023-10-09 09:46:33,2023-10-09 09:46:34,"0,618s",PASSED
"rightClick(findTestObject(""Object Repository/Page_Sample Page  Katalon Shop/p_Hi there Im a bike messenger by day, aspi_ed905b""))",Firefox 118.0,,,2023-10-09 09:46:34,2023-10-09 09:46:34,"0,430s",PASSED
"click(findTestObject(""Object Repository/Page_Sample Page  Katalon Shop/p_This is an example page. Its different fr_b854e3""))",Firefox 118.0,,,2023-10-09 09:46:34,2023-10-09 09:46:35,"0,508s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Sample Page  Katalon Shop/h1_Sample Page""), ""Sample Page"")",Firefox 118.0,,,2023-10-09 09:46:35,2023-10-09 09:46:35,"0,294s",PASSED
closeBrowser(),Firefox 118.0,,,2023-10-09 09:46:35,2023-10-09 09:46:36,"0,821s",PASSED
,,,,,,,
Test Cases/Test cases for getting katalon degree/test case 5,Firefox 118.0,,,2023-10-09 09:46:36,2023-10-09 09:46:49,"13,326s",PASSED
"openBrowser("""")",Firefox 118.0,,,2023-10-09 09:46:36,2023-10-09 09:46:39,"2,921s",PASSED
"navigateToUrl(""https://cms.demo.katalon.com/"")",Firefox 118.0,,,2023-10-09 09:46:39,2023-10-09 09:46:42,"2,648s",PASSED
"click(findTestObject(""Object Repository/Page_Katalon Shop  Katalon Ecommerce/a_My account""))",Firefox 118.0,,,2023-10-09 09:46:42,2023-10-09 09:46:43,"1,322s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_My account  Katalon Shop/h2_Recent Posts""), 0)",Firefox 118.0,,,2023-10-09 09:46:43,2023-10-09 09:46:43,"0,510s",PASSED
"click(findTestObject(""Object Repository/Page_My account  Katalon Shop/button_Log in""))",Firefox 118.0,,,2023-10-09 09:46:43,2023-10-09 09:46:44,"1,086s",PASSED
"click(findTestObject(""Object Repository/Page_My account  Katalon Shop/a_Sample Page""))",Firefox 118.0,,,2023-10-09 09:46:44,2023-10-09 09:46:46,"1,227s",PASSED
