Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Katalon certificate,Firefox 118.0,,,2023-10-09 09:48:13,2023-10-09 09:49:45,"1m - 31,412s",PASSED
,,,,,,,
Test Cases/Test cases for getting katalon degree/test case 1,Firefox 118.0,,,2023-10-09 09:48:14,2023-10-09 09:48:28,"14,091s",PASSED
"openBrowser("""")",Firefox 118.0,,,2023-10-09 09:48:14,2023-10-09 09:48:18,"3,908s",PASSED
"navigateToUrl(""https://cms.demo.katalon.com/"")",Firefox 118.0,,,2023-10-09 09:48:18,2023-10-09 09:48:20,"2,542s",PASSED
"click(findTestObject(""Object Repository/Page_Katalon Shop  Katalon Ecommerce/a_My account""))",Firefox 118.0,,,2023-10-09 09:48:20,2023-10-09 09:48:22,"1,381s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_My account  Katalon Shop/h2_Recent Posts""), 0)",Firefox 118.0,,,2023-10-09 09:48:22,2023-10-09 09:48:22,"0,401s",PASSED
"click(findTestObject(""Object Repository/Page_My account  Katalon Shop/button_Log in""))",Firefox 118.0,,,2023-10-09 09:48:22,2023-10-09 09:48:23,"1,118s",PASSED
"click(findTestObject(""Object Repository/Page_My account  Katalon Shop/a_Sample Page""))",Firefox 118.0,,,2023-10-09 09:48:23,2023-10-09 09:48:24,"1,280s",PASSED
"rightClick(findTestObject(""Object Repository/Page_Sample Page  Katalon Shop/a_Checkout""))",Firefox 118.0,,,2023-10-09 09:48:24,2023-10-09 09:48:25,"0,600s",PASSED
"click(findTestObject(""Object Repository/Page_Sample Page  Katalon Shop/blockquote_Hi there Im a bike messenger by _996985""))",Firefox 118.0,,,2023-10-09 09:48:25,2023-10-09 09:48:26,"0,642s",PASSED
"rightClick(findTestObject(""Object Repository/Page_Sample Page  Katalon Shop/p_Hi there Im a bike messenger by day, aspi_ed905b""))",Firefox 118.0,,,2023-10-09 09:48:26,2023-10-09 09:48:26,"0,423s",PASSED
"click(findTestObject(""Object Repository/Page_Sample Page  Katalon Shop/p_This is an example page. Its different fr_b854e3""))",Firefox 118.0,,,2023-10-09 09:48:26,2023-10-09 09:48:27,"0,518s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Sample Page  Katalon Shop/h1_Sample Page""), ""Sample Page"")",Firefox 118.0,,,2023-10-09 09:48:27,2023-10-09 09:48:27,"0,298s",PASSED
closeBrowser(),Firefox 118.0,,,2023-10-09 09:48:27,2023-10-09 09:48:28,"0,833s",PASSED
,,,,,,,
Test Cases/Test cases for getting katalon degree/Test case 2,Firefox 118.0,,,2023-10-09 09:48:28,2023-10-09 09:48:41,"13,347s",PASSED
"openBrowser("""")",Firefox 118.0,,,2023-10-09 09:48:28,2023-10-09 09:48:31,"2,998s",PASSED
"navigateToUrl(""https://cms.demo.katalon.com/"")",Firefox 118.0,,,2023-10-09 09:48:31,2023-10-09 09:48:33,"2,695s",PASSED
