Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Katalon certificate,Firefox 118.0,,,2023-10-09 10:18:25,2023-10-09 10:19:35,"1m - 10,337s",PASSED
,,,,,,,
Test Cases/Test cases for getting katalon degree/test case 1,Firefox 118.0,,,2023-10-09 10:18:25,2023-10-09 10:18:40,"14,848s",PASSED
"openBrowser("""")",Firefox 118.0,,,2023-10-09 10:18:25,2023-10-09 10:18:30,"4,559s",PASSED
"navigateToUrl(""https://cms.demo.katalon.com/"")",Firefox 118.0,,,2023-10-09 10:18:30,2023-10-09 10:18:32,"2,792s",PASSED
"click(findTestObject(""Object Repository/Page_Katalon Shop  Katalon Ecommerce/a_My account""))",Firefox 118.0,,,2023-10-09 10:18:32,2023-10-09 10:18:34,"1,353s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_My account  Katalon Shop/h2_Recent Posts""), 0)",Firefox 118.0,,,2023-10-09 10:18:34,2023-10-09 10:18:34,"0,399s",PASSED
"click(findTestObject(""Object Repository/Page_My account  Katalon Shop/button_Log in""))",Firefox 118.0,,,2023-10-09 10:18:34,2023-10-09 10:18:35,"1,003s",PASSED
"click(findTestObject(""Object Repository/Page_My account  Katalon Shop/a_Sample Page""))",Firefox 118.0,,,2023-10-09 10:18:35,2023-10-09 10:18:36,"1,330s",PASSED
"rightClick(findTestObject(""Object Repository/Page_Sample Page  Katalon Shop/a_Checkout""))",Firefox 118.0,,,2023-10-09 10:18:36,2023-10-09 10:18:37,"0,589s",PASSED
"click(findTestObject(""Object Repository/Page_Sample Page  Katalon Shop/blockquote_Hi there Im a bike messenger by _996985""))",Firefox 118.0,,,2023-10-09 10:18:37,2023-10-09 10:18:38,"0,613s",PASSED
"rightClick(findTestObject(""Object Repository/Page_Sample Page  Katalon Shop/p_Hi there Im a bike messenger by day, aspi_ed905b""))",Firefox 118.0,,,2023-10-09 10:18:38,2023-10-09 10:18:38,"0,418s",PASSED
"click(findTestObject(""Object Repository/Page_Sample Page  Katalon Shop/p_This is an example page. Its different fr_b854e3""))",Firefox 118.0,,,2023-10-09 10:18:38,2023-10-09 10:18:39,"0,505s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Sample Page  Katalon Shop/h1_Sample Page""), ""Sample Page"")",Firefox 118.0,,,2023-10-09 10:18:39,2023-10-09 10:18:39,"0,289s",PASSED
closeBrowser(),Firefox 118.0,,,2023-10-09 10:18:39,2023-10-09 10:18:40,"0,805s",PASSED
,,,,,,,
Test Cases/Test cases for getting katalon degree/Test case 2,Firefox 118.0,,,2023-10-09 10:18:40,2023-10-09 10:18:53,"13,208s",PASSED
